Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,71.3,71.47,71.1,71.38,64.88,1521500
2017-05-25,71.49,71.74,71.34,71.57,65.05,1291900
2017-05-26,71.37,71.93,71.28,71.84,65.3,1076300
2017-05-30,71.78,72.25,71.62,72.14,65.57,1365800
2017-05-31,72.15,72.99,72.11,72.91,66.27,2364200
2017-06-01,72.96,73.5,72.72,73.46,66.77,1630000
2017-06-02,73.71,74.42,73.59,74.25,67.49,1856800
2017-06-05,74.03,74.5,73.73,73.91,67.18,1523900
2017-06-06,73.96,74.09,73.25,73.41,66.73,1775000
2017-06-07,73.2,73.5,73.11,73.33,67.04,1633800
2017-06-08,73.33,73.52,72.31,72.54,66.32,2232600
2017-06-09,72.47,72.77,72.24,72.65,66.42,2025000
2017-06-12,72.65,73.0,72.5,72.88,66.63,1961500
2017-06-13,72.88,73.62,72.76,73.37,67.08,1431800
2017-06-14,73.63,73.88,73.27,73.42,67.12,1492600
2017-06-15,73.15,74.17,73.15,74.05,67.7,2523300
2017-06-16,74.2,74.48,73.94,74.14,67.78,2601600
2017-06-19,74.19,74.52,73.91,74.18,67.82,2244600
2017-06-20,74.07,74.44,73.77,73.77,67.44,1275300
2017-06-21,73.77,74.03,73.12,73.4,67.11,2568100
2017-06-22,73.34,73.56,73.02,73.36,67.07,1062800
2017-06-23,73.27,73.59,73.2,73.43,67.13,1649200
2017-06-26,73.6,73.8,73.33,73.46,67.16,1233900
2017-06-27,73.23,73.54,73.11,73.11,66.84,1033800
2017-06-28,73.53,74.15,73.45,73.52,67.22,1289900
2017-06-29,73.49,73.7,72.58,73.02,66.76,2280900
2017-06-30,73.38,73.65,73.22,73.35,67.06,1460900
2017-07-03,73.44,73.84,73.32,73.4,67.11,758200
2017-07-05,73.8,73.85,73.4,73.72,67.4,1413900
2017-07-06,73.41,73.58,73.18,73.39,67.1,1552200
2017-07-07,73.55,74.19,73.49,73.99,67.65,1468300
2017-07-10,73.97,74.29,73.76,73.98,67.64,1399300
2017-07-11,73.98,74.2,73.74,73.86,67.53,1202900
2017-07-12,74.22,74.53,74.16,74.17,67.81,1167300
2017-07-13,74.17,74.22,73.73,73.99,67.65,1012700
2017-07-14,74.09,74.3,74.01,74.27,67.9,773500
2017-07-17,74.21,74.62,74.03,74.5,68.11,1162000
2017-07-18,74.6,74.97,74.4,74.79,68.38,1383600
2017-07-19,74.82,75.07,74.72,74.92,68.5,2227400
2017-07-20,74.81,75.28,74.65,75.0,68.57,2184800
2017-07-21,74.89,75.42,74.86,75.37,68.91,1385600
2017-07-24,75.3,75.46,75.03,75.09,68.65,1516900
2017-07-25,75.27,75.97,75.12,75.64,69.15,2202100
2017-07-26,76.0,76.0,73.48,74.66,68.26,3670400
2017-07-27,74.95,75.49,74.49,75.45,68.98,1882000
2017-07-28,75.46,75.64,74.61,74.8,68.39,1494300
2017-07-31,74.94,75.34,74.81,75.15,68.71,1362600
2017-08-01,75.33,75.5,75.15,75.22,68.77,1485700
2017-08-02,74.99,75.42,74.82,75.25,68.8,1311700
2017-08-03,75.38,75.73,75.24,75.62,69.14,1889700
2017-08-04,75.66,75.95,75.38,75.52,69.04,1519400
