Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,30.4,30.69,30.04,30.28,22.42,4757800
2017-05-25,30.24,30.62,29.75,29.86,22.1,7004100
2017-05-26,29.88,29.9,29.4,29.69,21.98,5106300
2017-05-30,29.45,29.56,28.65,28.69,21.24,7473700
2017-05-31,28.45,28.68,28.1,28.6,21.17,10644600
2017-06-01,28.6,29.02,28.6,28.81,21.33,3667900
2017-06-02,28.72,28.9,28.48,28.88,21.38,5130800
2017-06-05,28.72,29.11,28.62,28.99,21.46,4525700
2017-06-06,28.85,29.32,28.79,29.25,21.65,5110300
2017-06-07,28.9,29.19,28.46,28.73,21.49,5110400
2017-06-08,28.73,29.3,28.58,28.93,21.64,7809300
2017-06-09,28.97,29.46,28.94,29.39,21.98,4767800
2017-06-12,29.49,29.61,29.13,29.47,22.04,5977500
2017-06-13,29.44,29.69,29.39,29.55,22.1,5917000
2017-06-14,29.55,29.58,28.56,28.79,21.53,5931800
2017-06-15,28.64,29.01,28.22,28.3,21.17,5195100
2017-06-16,28.52,29.21,28.5,29.12,21.78,8328100
2017-06-19,29.14,29.21,28.74,28.87,21.59,3869400
2017-06-20,28.55,28.55,28.01,28.43,21.26,8115800
2017-06-21,28.58,28.74,27.73,27.85,20.83,7249500
2017-06-22,27.92,28.2,27.65,28.17,21.07,5991800
2017-06-23,28.22,28.78,28.07,28.75,21.5,9003000
2017-06-26,28.76,29.05,28.58,28.97,21.67,3844600
2017-06-27,29.08,29.48,29.05,29.17,21.82,7548300
2017-06-28,29.2,29.84,29.16,29.75,22.25,8364000
2017-06-29,29.82,30.25,29.72,29.8,22.29,11878100
2017-06-30,29.96,30.43,29.84,30.28,22.65,6854400
2017-07-03,30.49,31.02,30.45,30.83,23.06,3062100
2017-07-05,30.74,30.8,30.22,30.35,22.7,6948900
2017-07-06,30.5,30.77,30.3,30.47,22.79,5590600
2017-07-07,30.46,30.56,30.21,30.41,22.75,6245900
2017-07-10,30.39,30.58,30.26,30.44,22.77,4915600
2017-07-11,30.44,30.51,30.18,30.43,22.76,3698100
2017-07-12,30.82,31.03,30.68,30.79,23.03,4098000
2017-07-13,30.93,31.24,30.8,31.16,23.31,3801400
2017-07-14,31.12,31.63,31.11,31.43,23.51,4441100
2017-07-17,31.4,31.62,31.34,31.44,23.52,2592700
2017-07-18,31.64,31.76,31.14,31.15,23.3,4599700
2017-07-19,31.15,31.34,30.96,31.25,23.37,5844600
2017-07-20,31.47,31.86,31.26,31.43,23.51,6070900
2017-07-21,31.44,31.65,31.29,31.45,23.52,5769600
2017-07-24,31.53,31.77,31.53,31.67,23.69,4586100
2017-07-25,31.97,32.14,31.59,31.6,23.64,4716100
2017-07-26,31.73,32.07,31.55,31.61,23.64,4663000
2017-07-27,31.56,32.02,31.52,31.98,23.92,4622600
2017-07-28,31.92,32.18,31.87,31.99,23.93,3464900
2017-07-31,32.0,32.07,31.58,31.78,23.77,3355600
2017-08-01,31.87,31.94,31.59,31.72,23.72,5497200
2017-08-02,31.5,31.74,31.37,31.64,23.67,3942200
2017-08-03,30.73,31.49,30.5,31.06,23.23,5006700
2017-08-04,31.13,31.26,30.91,30.98,23.17,4362300
2017-08-07,30.89,31.06,30.65,31.02,23.2,5057300
2017-08-08,30.91,31.11,30.39,30.49,22.8,5710400
2017-08-09,30.53,30.93,30.45,30.63,22.91,3547100
2017-08-10,30.64,30.73,30.01,30.05,22.48,3679900
2017-08-11,30.05,30.25,29.96,30.08,22.5,2391800
