Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,95.49,95.83,94.42,95.62,93.75,212200
2017-05-25,95.85,96.8,95.3,96.47,94.58,161400
2017-05-26,96.35,97.27,95.87,97.04,95.14,260800
2017-05-30,96.84,97.58,96.75,97.36,95.46,213400
2017-05-31,97.5,97.93,96.94,97.02,95.12,226400
2017-06-01,97.44,99.08,96.82,98.89,96.96,303700
2017-06-02,99.44,99.5,98.52,98.93,97.0,230600
2017-06-05,99.17,99.91,98.56,99.21,97.27,226700
2017-06-06,98.6,99.77,97.29,99.25,97.31,316600
2017-06-07,99.78,99.87,98.54,99.44,97.5,190500
2017-06-08,99.43,99.43,98.45,98.81,96.88,236400
2017-06-09,98.86,99.29,96.92,97.94,96.02,269400
2017-06-12,97.66,97.73,94.97,96.09,94.21,480100
2017-06-13,96.58,97.81,95.77,97.63,95.72,263800
2017-06-14,97.78,98.42,96.35,96.95,95.05,207800
2017-06-15,95.9,96.69,95.31,96.24,94.36,202400
2017-06-16,95.63,96.72,95.05,95.97,94.09,483600
2017-06-19,96.44,97.02,95.92,96.98,95.08,263400
2017-06-20,96.7,97.64,95.92,96.07,94.19,186900
2017-06-21,96.58,96.73,95.76,96.56,94.67,241700
2017-06-22,96.33,97.09,96.33,96.46,94.57,190200
2017-06-23,96.8,96.9,96.06,96.42,94.53,413000
2017-06-26,96.71,96.8,95.75,96.68,94.79,234500
2017-06-27,96.46,96.87,95.68,95.79,93.92,275700
2017-06-28,95.78,96.35,95.13,96.23,94.35,282600
2017-06-29,96.22,96.73,93.62,94.42,92.57,337500
2017-06-30,94.3,94.89,93.88,94.52,92.67,256800
2017-07-03,94.92,95.28,93.37,93.43,91.6,158500
2017-07-05,93.46,94.43,93.04,94.29,92.45,212200
2017-07-06,93.37,94.53,93.28,93.73,91.9,345000
2017-07-07,94.21,95.92,94.21,95.73,93.86,200000
2017-07-10,95.57,95.57,93.3,93.38,91.55,271400
2017-07-11,93.38,94.16,92.97,93.64,91.81,196300
2017-07-12,94.03,94.93,94.0,94.08,92.24,166400
2017-07-13,94.28,94.43,92.58,93.65,91.82,186800
2017-07-14,93.75,94.05,93.51,93.62,91.79,143300
2017-07-17,93.5,93.82,92.57,93.68,91.98,157100
2017-07-18,93.3,93.97,93.3,93.86,92.15,237600
2017-07-19,93.88,94.38,92.44,94.04,92.33,236900
2017-07-20,94.28,94.32,93.36,93.48,91.78,168700
2017-07-21,93.47,93.8,92.41,93.0,91.31,216400
2017-07-24,93.0,93.98,92.65,93.93,92.22,239000
2017-07-25,94.0,94.56,93.77,94.46,92.74,442100
2017-07-26,94.31,94.75,92.58,92.67,90.98,300600
2017-07-27,89.0,94.31,80.02,92.26,90.58,3065000
2017-07-28,91.25,92.5,88.76,89.55,87.92,790600
2017-07-31,89.86,89.93,87.76,88.7,87.09,749200
2017-08-01,89.3,89.3,87.45,87.8,86.2,739100
2017-08-02,87.94,88.14,86.07,87.37,85.78,569600
2017-08-03,87.38,88.09,86.9,87.51,85.92,354000
2017-08-04,87.56,87.58,86.04,86.4,84.83,300700
2017-08-07,86.54,87.12,86.08,87.06,85.48,450000
2017-08-08,86.68,87.06,85.58,86.71,85.13,347100
2017-08-09,86.62,86.85,85.72,86.36,84.79,357900
2017-08-10,86.13,86.13,84.47,84.69,83.15,366000
2017-08-11,84.53,85.83,84.36,84.93,83.38,250000
2017-08-14,85.71,85.86,84.94,85.1,83.55,219300
2017-08-15,85.16,86.25,84.82,85.42,83.87,249900
2017-08-16,85.53,86.45,85.23,85.99,84.43,274100
2017-08-17,86.0,86.37,85.19,85.31,83.76,331900
2017-08-18,85.33,85.91,84.28,85.15,83.6,249400
2017-08-21,85.25,85.89,84.68,85.28,83.73,236100
2017-08-22,85.28,86.13,84.99,85.87,84.31,192000
2017-08-23,85.38,85.38,84.54,84.54,83.0,242000
2017-08-24,84.97,85.63,84.35,85.61,84.05,213200
2017-08-25,85.78,86.11,85.41,85.43,83.88,125700
2017-08-28,85.69,85.69,84.51,84.7,83.16,340000
2017-08-29,84.35,85.17,84.11,85.08,83.53,210800
2017-08-30,84.88,86.0,84.6,85.93,84.37,140200
2017-08-31,85.93,87.13,85.44,87.04,85.46,295300
2017-09-01,87.12,87.6,86.26,87.49,85.9,319300
2017-09-05,87.24,88.01,86.87,87.53,85.94,520100
