Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,18.82,19.46,18.81,19.27,15.79,4576700
2017-05-25,19.28,19.41,19.26,19.31,15.82,2211800
2017-05-26,19.27,19.34,19.05,19.07,15.62,2213500
2017-05-30,19.02,19.21,18.93,19.18,15.71,3450100
2017-05-31,19.18,19.28,18.88,19.02,15.58,7722800
2017-06-01,19.09,19.52,19.07,19.44,15.93,5124600
2017-06-02,19.41,19.44,19.18,19.28,15.8,3296600
2017-06-05,19.29,19.44,19.25,19.4,15.89,2744500
2017-06-06,19.32,19.36,19.21,19.22,15.75,2591400
2017-06-07,19.23,19.26,19.12,19.13,15.67,2569100
2017-06-08,19.13,19.18,18.83,18.94,15.52,3479600
2017-06-09,18.92,19.15,18.78,19.01,15.58,3359600
2017-06-12,18.91,19.53,18.91,19.26,15.78,5476300
2017-06-13,19.29,19.51,19.27,19.45,15.94,5166300
2017-06-14,19.33,19.45,19.17,19.23,15.9,3377000
2017-06-15,19.07,19.18,18.86,18.99,15.7,4468200
2017-06-16,18.91,19.13,18.76,19.08,15.77,7644300
2017-06-19,19.17,19.17,18.87,19.1,15.79,3375000
2017-06-20,19.03,19.07,18.93,18.95,15.67,3544100
2017-06-21,18.99,19.03,18.83,18.84,15.58,2056400
2017-06-22,18.8,18.93,18.52,18.78,15.53,4597200
2017-06-23,18.83,19.17,18.8,19.17,15.85,4797700
2017-06-26,19.18,19.34,18.94,19.01,15.72,2640400
2017-06-27,19.18,19.21,18.87,18.88,15.61,2104600
2017-06-28,18.88,19.0,18.76,18.97,15.68,3926500
2017-06-29,18.98,19.09,18.74,18.86,15.59,4246600
2017-06-30,18.87,19.14,18.84,19.05,15.75,4475600
2017-07-03,19.12,19.26,19.11,19.15,15.83,1805500
2017-07-05,19.18,19.22,18.6,18.69,15.45,5171600
2017-07-06,18.6,18.63,18.42,18.47,15.27,3997100
2017-07-07,18.56,18.73,18.5,18.65,15.42,3080700
2017-07-10,18.63,18.84,18.59,18.7,15.46,2527200
2017-07-11,18.69,18.84,18.62,18.79,15.53,3097500
2017-07-12,18.9,19.07,18.87,19.01,15.72,3144100
2017-07-13,19.05,19.08,18.94,18.94,15.66,1740800
2017-07-14,18.98,19.09,18.93,19.02,15.73,1020400
2017-07-17,19.03,19.17,18.94,19.0,15.71,1632700
2017-07-18,18.99,18.99,18.86,18.96,15.68,1893500
2017-07-19,18.97,19.2,18.91,19.18,15.86,2798900
2017-07-20,19.19,19.24,19.06,19.08,15.77,1855300
2017-07-21,19.09,19.17,19.03,19.09,15.78,1710200
2017-07-24,19.08,19.19,18.88,19.16,15.84,1745300
2017-07-25,19.25,19.61,19.25,19.48,16.11,3884700
2017-07-26,19.47,19.49,19.34,19.48,16.11,2147800
2017-07-27,19.57,19.77,19.5,19.7,16.29,3255400
2017-07-28,19.66,19.74,19.58,19.65,16.25,1979900
