Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,33.15,33.28,33.03,33.18,26.87,3617500
2017-05-25,33.21,33.41,33.06,33.17,26.86,2147900
2017-05-26,33.15,33.19,32.92,33.01,26.73,1962900
2017-05-30,32.86,33.41,32.86,33.14,26.84,4450100
2017-05-31,33.13,33.15,32.94,32.96,26.69,4857500
2017-06-01,33.07,33.52,32.83,33.51,27.14,3381400
2017-06-02,33.58,33.73,33.35,33.51,27.14,2980500
2017-06-05,33.56,33.56,33.16,33.38,27.03,2814300
2017-06-06,33.29,33.53,33.14,33.41,27.06,2236300
2017-06-07,33.2,33.28,32.89,33.02,26.99,2355200
2017-06-08,33.02,33.02,32.28,32.59,26.64,4354800
2017-06-09,32.6,33.24,32.57,33.23,27.16,4544800
2017-06-12,33.23,33.85,33.14,33.6,27.46,3615000
2017-06-13,33.6,33.94,33.5,33.81,27.64,2802200
2017-06-14,33.86,33.98,33.6,33.77,27.6,1926400
2017-06-15,33.6,33.99,33.58,33.6,27.46,2719700
2017-06-16,33.74,33.89,33.55,33.66,27.51,3771800
2017-06-19,33.8,34.13,33.75,34.04,27.82,1985700
2017-06-20,34.0,34.09,33.79,33.96,27.76,1958900
2017-06-21,34.0,34.05,33.63,33.76,27.6,2718800
2017-06-22,33.78,34.07,33.52,33.94,27.74,1886200
2017-06-23,34.0,34.3,33.91,34.14,27.91,5325900
2017-06-26,34.24,34.24,33.62,33.63,27.49,3298400
2017-06-27,33.68,33.74,32.83,32.85,26.85,3806500
2017-06-28,33.02,33.27,32.77,33.2,27.14,1652300
2017-06-29,33.24,33.41,33.03,33.07,27.03,3038600
2017-06-30,33.2,33.63,33.05,33.5,27.38,3210500
2017-07-03,33.63,33.91,33.57,33.69,27.54,1514000
2017-07-05,33.49,33.52,32.98,33.21,27.15,2581300
2017-07-06,33.05,33.1,32.03,32.06,26.21,12248800
2017-07-07,32.03,32.28,31.91,32.01,26.17,3123700
2017-07-10,31.83,32.33,31.8,32.22,26.34,3885800
2017-07-11,32.25,32.57,32.21,32.51,26.57,4173700
2017-07-12,32.61,33.03,32.61,32.93,26.92,3744000
2017-07-13,32.99,33.05,32.58,32.72,26.75,2681100
2017-07-14,32.72,33.23,32.66,33.15,27.1,2290400
2017-07-17,33.21,33.45,33.03,33.4,27.3,1776900
2017-07-18,33.32,33.44,33.02,33.08,27.04,2017500
2017-07-19,33.19,33.85,33.19,33.82,27.64,2274100
2017-07-20,33.88,34.34,33.84,34.0,27.79,3669400
2017-07-21,33.94,34.46,33.91,34.43,28.14,2871700
2017-07-24,34.43,34.45,34.06,34.13,27.9,2797600
2017-07-25,34.26,34.26,33.87,34.12,27.89,2503600
2017-07-26,34.14,34.23,33.83,33.92,27.73,2672700
2017-07-27,33.91,34.35,33.64,34.23,27.98,4104500
2017-07-28,34.26,34.26,32.85,32.94,26.93,4462400
2017-07-31,32.8,33.05,32.69,33.02,26.99,7513900
2017-08-01,33.08,33.29,32.93,33.22,27.15,3247700
2017-08-02,33.13,33.25,32.25,32.37,26.46,3138900
2017-08-03,32.32,32.94,32.26,32.86,26.86,2745500
2017-08-04,32.9,32.95,32.67,32.78,26.79,1894400
2017-08-07,32.79,32.82,32.56,32.72,26.75,1515900
2017-08-08,32.63,32.72,32.35,32.46,26.53,1870200
2017-08-09,32.41,32.62,32.21,32.43,26.51,1691000
2017-08-10,32.36,32.41,32.06,32.12,26.26,1933600
2017-08-11,32.07,32.36,32.0,32.22,26.34,2027600
2017-08-14,32.16,32.51,32.08,32.24,26.35,3042900
2017-08-15,32.27,32.33,31.73,31.94,26.11,2388900
2017-08-16,32.1,32.23,31.87,31.91,26.08,2007300
