Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,124.19,124.68,123.32,124.0,115.95,1100100
2017-05-25,124.03,124.84,123.67,124.44,116.37,1000300
2017-05-26,124.45,127.32,124.45,125.73,117.57,1354100
2017-05-30,125.73,127.59,125.36,126.58,118.37,1617300
2017-05-31,126.86,128.83,125.5,128.7,120.35,1697100
2017-06-01,131.8,135.26,130.75,133.59,124.92,4059300
2017-06-02,134.45,134.93,133.19,134.68,125.94,2293600
2017-06-05,134.35,134.8,132.5,133.28,124.63,1423700
2017-06-06,133.51,134.34,132.29,132.6,124.0,1892400
2017-06-07,133.27,133.27,131.17,132.31,123.72,2371500
2017-06-08,133.44,134.96,132.5,134.73,125.99,2609600
2017-06-09,134.53,135.09,127.6,129.59,121.18,3109700
2017-06-12,128.67,132.35,128.03,130.25,121.8,1921200
2017-06-13,132.46,134.6,132.07,134.16,125.45,1665400
2017-06-14,134.41,135.26,132.59,133.49,124.83,1235900
2017-06-15,131.46,134.35,130.85,134.04,125.34,1257100
2017-06-16,134.41,136.98,133.91,134.46,125.73,1806200
2017-06-19,136.6,138.79,136.11,138.42,129.44,1824800
2017-06-20,138.1,138.52,136.32,137.13,128.23,1359700
2017-06-21,137.03,138.44,136.59,137.46,128.54,897200
2017-06-22,137.37,137.96,135.98,137.05,128.16,1126900
2017-06-23,136.59,138.4,136.05,138.32,129.34,1455900
2017-06-26,138.5,139.67,136.75,137.15,128.25,1174500
2017-06-27,137.0,138.75,135.33,135.63,126.83,1729800
2017-06-28,135.98,136.69,134.01,135.94,127.12,1268400
2017-06-29,135.8,135.82,131.08,132.76,124.15,1779600
2017-06-30,133.14,135.06,131.7,134.12,125.42,1455000
2017-07-03,132.8,132.9,128.82,131.01,122.51,2005600
2017-07-05,131.6,132.89,130.03,132.42,123.83,1212300
2017-07-06,132.04,132.82,130.83,130.91,122.42,1276900
2017-07-07,130.8,133.44,129.51,132.46,123.86,1334800
2017-07-10,132.7,135.15,132.42,134.95,126.19,1119800
2017-07-11,134.99,135.9,133.02,134.29,125.58,1391100
2017-07-12,135.57,136.53,135.12,135.27,126.49,1183400
2017-07-13,136.2,136.33,134.5,134.98,126.22,953800
2017-07-14,129.53,131.84,127.01,130.42,121.96,4478300
2017-07-17,130.0,131.33,128.9,129.85,121.42,2156900
2017-07-18,129.96,133.71,129.93,133.55,124.88,1740700
2017-07-19,134.29,135.18,131.9,133.17,124.53,1359400
2017-07-20,133.26,133.43,131.7,132.0,123.43,1008800
2017-07-21,132.19,135.6,132.18,134.14,125.44,1646700
2017-07-24,136.23,139.45,135.54,138.53,129.54,2814000
2017-07-25,139.09,139.66,136.67,138.98,129.96,3743200
2017-07-26,132.0,133.0,128.44,132.0,123.43,8653800
2017-07-27,132.33,133.13,127.34,128.02,119.71,4513400
2017-07-28,127.85,131.13,127.65,128.6,120.26,2730500
2017-07-31,129.56,131.33,128.55,129.34,120.95,2475300
2017-08-01,130.13,130.36,127.42,128.0,119.69,2424100
2017-08-02,127.84,127.91,124.16,125.95,117.78,2906300
2017-08-03,126.2,127.19,125.2,126.34,118.14,1238600
2017-08-04,126.57,127.9,125.87,127.51,119.24,1034400
2017-08-07,128.32,130.45,128.0,130.23,121.78,1707400
2017-08-08,130.65,131.69,129.39,130.07,122.1,1791700
2017-08-09,129.56,130.07,128.44,129.85,121.89,1789000
2017-08-10,129.0,129.52,125.93,126.02,118.3,2174300
2017-08-11,125.57,126.37,124.11,125.63,117.93,1235200
2017-08-14,127.31,128.47,126.78,128.18,120.32,1293200
2017-08-15,131.32,136.52,131.25,136.39,128.03,5147800
2017-08-16,136.65,136.96,135.41,136.45,128.09,2131200
2017-08-17,136.0,137.11,134.14,134.62,126.37,2190300
2017-08-18,134.51,136.98,133.49,134.9,126.63,1729600
2017-08-21,135.99,136.5,133.23,135.64,127.33,1671300
2017-08-22,136.48,137.95,135.79,136.15,127.81,1931800
2017-08-23,133.9,135.44,133.27,134.75,126.49,1720300
2017-08-24,135.3,135.3,132.57,134.1,125.88,1474400
2017-08-25,133.85,135.29,132.82,134.65,126.4,1128900
2017-08-28,134.86,135.29,132.26,133.9,125.69,1976400
2017-08-29,133.45,135.49,132.63,135.25,126.96,1136700
2017-08-30,135.31,136.34,134.52,136.1,127.76,1012100
2017-08-31,137.11,139.94,136.36,138.99,130.47,2629700
2017-09-01,141.4,144.81,140.85,143.42,134.63,3014100
2017-09-05,142.58,143.92,140.84,142.5,133.77,1836000
2017-09-06,143.81,143.91,142.09,143.38,134.59,1817300
2017-09-07,144.0,147.5,143.82,145.75,136.82,1860700
2017-09-08,145.53,146.89,144.16,144.43,135.58,1081100
2017-09-11,146.17,146.21,144.21,145.9,136.96,1516700
2017-09-12,145.5,146.26,143.91,145.92,136.98,992300
2017-09-13,146.4,146.49,144.56,145.47,136.55,933400
2017-09-14,145.0,145.13,143.95,144.1,135.27,1070400
2017-09-15,144.11,145.15,142.87,143.22,134.44,1534800
2017-09-18,143.77,145.09,143.42,143.84,135.02,900700
2017-09-19,144.18,147.38,144.0,147.01,138.0,1968900
2017-09-20,147.35,147.9,144.09,145.69,136.76,1223400
2017-09-21,145.14,145.8,142.7,145.4,136.49,1361100
2017-09-22,144.91,146.09,144.6,144.91,136.03,1022800
2017-09-25,143.46,143.96,140.2,141.13,132.48,2193500
2017-09-26,142.38,145.0,141.79,144.62,135.76,1085700
2017-09-27,145.0,147.02,144.58,145.28,136.38,1348500
2017-09-28,145.4,146.13,144.17,144.38,135.53,1132800
2017-09-29,147.11,150.15,146.47,148.92,139.79,3215000
2017-10-02,147.11,148.87,145.4,147.07,138.06,3006000
2017-10-03,147.67,148.23,146.36,147.09,138.08,1709000
