Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,82.42,82.54,82.01,82.29,63.2,8136000
2017-05-25,82.33,82.71,81.52,81.75,62.78,12370900
2017-05-26,81.61,81.8,80.83,81.55,62.63,8227100
2017-05-30,81.28,81.34,81.04,81.1,62.28,8973600
2017-05-31,80.94,80.95,80.47,80.5,61.82,13572300
2017-06-01,80.37,80.9,80.19,80.7,61.98,9884100
2017-06-02,80.59,80.68,79.26,79.5,61.06,21687300
2017-06-05,79.44,80.39,79.4,80.12,61.53,11527100
2017-06-06,80.3,81.32,80.22,81.21,62.37,12208600
2017-06-07,81.05,81.4,80.34,80.91,62.14,13096500
2017-06-08,80.91,81.08,80.49,80.62,61.92,11720700
2017-06-09,81.15,82.14,80.69,82.13,63.08,13553900
2017-06-12,82.13,83.69,82.13,82.93,63.69,18172900
2017-06-13,82.85,83.27,82.57,82.96,63.71,12175500
2017-06-14,82.81,82.82,81.56,82.07,63.03,13714000
2017-06-15,81.78,82.4,81.58,82.26,63.18,11862600
2017-06-16,82.61,83.54,82.2,83.49,64.12,39726100
2017-06-19,83.49,83.49,82.55,82.76,63.56,10445700
2017-06-20,82.07,82.47,81.41,82.31,63.21,13232600
2017-06-21,82.04,82.63,81.14,81.44,62.55,11422300
2017-06-22,81.45,81.58,80.9,81.08,62.27,8139900
2017-06-23,80.85,81.69,80.76,81.61,62.68,10611200
2017-06-26,81.57,81.75,80.91,81.24,62.39,7718700
2017-06-27,81.45,81.73,81.11,81.11,62.29,9221600
2017-06-28,81.41,81.76,81.19,81.53,62.61,9189700
2017-06-29,81.37,81.84,80.41,80.7,61.98,20525100
2017-06-30,81.08,81.24,80.7,80.73,62.0,14000600
2017-07-03,80.79,82.49,80.72,82.1,63.05,8422300
2017-07-05,81.68,81.68,80.52,80.85,62.09,9830800
2017-07-06,80.86,81.08,80.09,80.12,61.53,9822400
2017-07-07,80.2,80.6,79.81,80.22,61.61,10777800
2017-07-10,80.0,80.41,79.96,80.16,61.56,6338300
2017-07-11,80.33,80.75,80.04,80.6,61.9,9681100
2017-07-12,81.19,81.52,80.75,80.96,62.18,7974000
2017-07-13,80.97,81.09,80.73,80.97,62.18,5582300
2017-07-14,81.0,81.41,80.77,81.28,62.42,7497200
2017-07-17,81.0,81.43,80.83,80.86,62.1,7914700
2017-07-18,81.02,81.08,80.41,80.6,61.9,8046100
2017-07-19,80.44,80.87,80.27,80.85,62.09,9393200
2017-07-20,80.97,81.49,80.75,80.86,62.1,9681000
2017-07-21,80.65,80.84,80.0,80.12,61.53,12268600
2017-07-24,80.06,80.22,79.76,79.87,61.34,9403000
2017-07-25,80.77,81.05,80.27,80.27,61.65,11465300
2017-07-26,80.58,80.9,80.2,80.37,61.72,10465100
2017-07-27,80.24,80.88,79.9,80.83,62.08,11149700
2017-07-28,79.65,79.92,78.27,79.6,61.13,22800800
2017-07-31,79.83,80.39,79.6,80.04,61.47,12820200
2017-08-01,80.16,80.54,79.97,80.17,61.57,10421200
2017-08-02,79.9,80.64,79.8,80.6,61.9,10410100
2017-08-03,80.34,80.82,80.3,80.49,61.82,10136700
2017-08-04,80.44,80.56,80.05,80.21,61.6,8292200
2017-08-07,80.17,80.17,79.86,80.16,61.56,7893800
2017-08-08,80.02,80.22,79.83,79.96,61.41,9028400
2017-08-09,80.25,80.35,79.78,80.21,61.6,8087100
2017-08-10,79.76,79.78,78.91,78.97,61.24,12580300
2017-08-11,79.21,79.25,78.2,78.21,60.65,10192400
2017-08-14,78.62,78.79,78.12,78.23,60.66,8862500
2017-08-15,78.12,78.25,77.68,78.04,60.52,10350900
2017-08-16,78.04,78.17,77.31,77.47,60.07,9117100
2017-08-17,77.26,77.28,76.21,76.26,59.13,13400400
2017-08-18,76.18,77.11,76.05,76.64,59.43,14324300
2017-08-21,76.47,76.62,76.08,76.38,59.23,10084900
2017-08-22,76.55,77.33,76.53,76.74,59.51,9503600
2017-08-23,76.7,77.01,76.47,76.61,59.41,7054300
2017-08-24,76.5,76.65,76.2,76.33,59.19,8678300
2017-08-25,76.56,77.13,76.43,76.72,59.49,6844900
2017-08-28,76.9,76.94,76.26,76.47,59.3,8229700
2017-08-29,76.21,76.49,76.08,76.45,59.28,7060400
2017-08-30,76.24,76.45,76.06,76.1,59.01,8218000
2017-08-31,76.27,76.49,76.05,76.33,59.19,15641700
2017-09-01,76.37,76.85,76.32,76.57,59.38,7361100
2017-09-05,76.64,77.36,76.61,77.18,59.85,12784800
2017-09-06,77.89,79.22,77.58,78.78,61.09,18574400
2017-09-07,79.02,79.33,78.61,79.03,61.28,9836400
2017-09-08,79.01,79.04,78.63,78.82,61.12,8436000
2017-09-11,79.41,79.42,78.9,79.25,61.45,12955800
2017-09-12,79.4,79.69,79.24,79.5,61.65,7644400
2017-09-13,79.5,79.77,79.38,79.77,61.86,8369700
2017-09-14,79.85,80.23,79.77,80.09,62.1,9072600
2017-09-15,80.12,80.21,79.55,80.07,62.09,16043700
2017-09-18,79.79,80.14,79.7,80.09,62.1,8594400
2017-09-19,80.06,80.39,79.99,80.22,62.21,9277100
2017-09-20,80.28,80.66,80.26,80.55,62.46,10606900
2017-09-21,80.49,80.53,79.76,79.89,61.95,11984200
2017-09-22,79.72,80.3,79.67,79.92,61.97,10205800
