Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,52.69,52.97,52.29,52.61,49.75,675900
2017-05-25,52.7,52.87,51.89,52.13,49.29,1972300
2017-05-26,52.03,52.19,51.35,51.41,48.61,1000600
2017-05-30,51.4,52.0,51.29,51.79,48.97,802000
2017-05-31,51.85,52.4,51.64,52.14,49.3,1600500
2017-06-01,52.44,52.95,52.16,52.44,49.58,1467000
2017-06-02,52.22,53.17,52.2,53.0,50.11,929300
2017-06-05,53.0,53.5,52.89,53.2,50.3,1119100
2017-06-06,52.94,53.24,52.54,52.69,49.82,882100
2017-06-07,52.83,53.63,52.71,53.46,50.55,2016900
2017-06-08,53.46,53.6,52.86,53.58,50.66,1929500
2017-06-09,53.65,54.02,53.61,53.97,51.03,1149700
2017-06-12,54.0,54.09,53.61,54.02,51.08,1065000
2017-06-13,53.96,54.1,53.4,53.79,50.86,996300
2017-06-14,53.73,53.89,53.33,53.66,50.74,1068000
2017-06-15,53.43,53.96,53.23,53.96,51.02,825000
2017-06-16,54.01,54.29,53.63,54.05,51.11,1606300
2017-06-19,54.25,54.39,53.81,54.17,51.22,605300
2017-06-20,53.99,54.24,53.69,53.88,50.95,704700
2017-06-21,53.95,54.09,53.28,53.54,50.62,1027600
2017-06-22,53.55,53.99,53.3,53.85,50.92,1012400
2017-06-23,53.83,54.53,53.78,54.33,51.37,1151600
2017-06-26,54.39,54.84,54.16,54.68,51.7,2000800
2017-06-27,54.68,54.82,54.34,54.5,51.53,1234800
2017-06-28,54.75,55.03,54.35,54.97,51.98,1321100
2017-06-29,55.02,55.45,54.54,54.9,51.91,2108700
2017-06-30,54.97,55.68,54.9,55.43,52.41,1814300
2017-07-03,55.77,55.88,55.16,55.45,52.43,619800
2017-07-05,55.41,55.59,54.52,54.94,51.95,2073000
2017-07-06,54.89,55.07,54.32,54.38,51.42,2193600
2017-07-07,54.56,55.16,54.34,54.95,51.96,1347500
2017-07-10,54.78,55.07,54.52,54.61,51.64,2410600
2017-07-11,54.59,54.66,54.08,54.34,51.38,898200
2017-07-12,54.83,55.64,54.81,55.32,52.31,1249000
2017-07-13,55.51,55.89,55.2,55.84,52.8,1226400
2017-07-14,55.87,56.18,55.8,56.1,53.05,935500
2017-07-17,55.95,56.93,55.9,56.72,53.63,1165200
2017-07-18,56.57,56.62,56.18,56.42,53.35,954500
2017-07-19,56.57,57.09,56.51,57.07,53.96,704600
2017-07-20,57.08,57.1,56.68,56.93,53.83,756300
2017-07-21,56.79,57.66,56.65,57.62,54.48,1169800
2017-07-24,57.47,57.85,57.21,57.72,54.58,1093700
2017-07-25,58.22,58.23,57.19,57.21,54.09,1203900
2017-07-26,57.31,57.51,56.89,56.89,53.79,773200
2017-07-27,56.88,57.13,56.33,56.87,53.77,1304600
2017-07-28,56.75,57.13,56.58,56.93,53.83,1099800
2017-07-31,57.05,57.31,56.55,56.73,53.64,2195600
2017-08-01,57.62,59.77,57.62,59.3,56.07,2588800
2017-08-02,59.46,60.71,59.37,59.92,56.66,1351900
2017-08-03,59.77,59.8,59.14,59.56,56.32,1090700
2017-08-04,59.87,60.14,59.35,60.02,56.75,1361800
2017-08-07,59.93,60.14,59.66,60.04,56.77,870300
2017-08-08,59.74,60.25,59.66,59.84,56.58,908500
2017-08-09,59.83,60.32,59.63,59.71,56.46,1134000
2017-08-10,59.62,59.87,58.89,58.98,55.77,598300
2017-08-11,58.78,59.36,58.58,59.12,55.9,506100
2017-08-14,59.57,60.28,59.39,59.88,56.62,720800
2017-08-15,59.85,60.33,59.71,59.86,56.6,706700
2017-08-16,59.88,60.03,59.81,59.93,56.67,420600
2017-08-17,59.72,59.95,58.93,58.95,55.74,613700
2017-08-18,58.7,59.33,58.62,59.03,55.82,630900
2017-08-21,58.96,59.37,58.87,59.31,56.08,498700
2017-08-22,59.35,59.98,59.29,59.96,56.7,514400
2017-08-23,59.63,60.15,59.53,59.99,56.72,838800
2017-08-24,59.99,60.21,59.96,60.1,56.83,790300
2017-08-25,60.38,60.73,60.27,60.48,57.19,555500
2017-08-28,60.76,61.39,60.7,61.16,57.83,941700
2017-08-29,60.68,61.22,60.44,61.11,57.95,712500
2017-08-30,61.05,61.59,61.0,61.55,58.37,675900
2017-08-31,61.85,62.15,61.5,62.07,58.86,814500
