Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,41.01,41.16,40.32,40.7,35.82,2568300
2017-05-25,40.82,41.19,40.53,40.88,35.98,3933100
2017-05-26,40.89,41.2,40.41,40.45,35.6,2195400
2017-05-30,40.13,40.32,39.6,39.87,35.09,3259400
2017-05-31,39.98,40.42,39.34,40.07,35.26,13834700
2017-06-01,40.48,40.55,39.73,40.55,35.69,2667300
2017-06-02,39.86,40.43,39.62,40.1,35.29,2848600
2017-06-05,40.29,41.17,40.1,40.46,35.61,3186600
2017-06-06,40.02,40.51,39.74,40.26,35.43,3676700
2017-06-07,40.37,40.63,40.25,40.46,35.61,2284100
2017-06-08,40.43,42.04,40.35,41.39,36.42,3653300
2017-06-09,41.81,42.53,41.5,42.34,37.26,3191100
2017-06-12,42.26,43.25,42.26,42.93,37.78,4060500
2017-06-13,43.14,43.57,42.8,43.13,37.96,2556300
2017-06-14,42.5,43.27,42.1,43.23,38.04,2643300
2017-06-15,43.0,43.46,42.75,42.87,37.73,1873800
2017-06-16,42.89,43.26,42.73,43.09,37.92,3442500
2017-06-19,43.67,43.81,43.18,43.36,38.16,1561800
2017-06-20,43.12,43.35,42.87,42.96,37.81,2508100
2017-06-21,43.03,43.23,42.25,42.33,37.25,2123500
2017-06-22,42.26,42.43,41.71,42.3,37.23,1826000
2017-06-23,42.6,42.84,41.83,41.93,36.9,2095900
2017-06-26,42.06,42.6,41.9,42.34,37.26,1468500
2017-06-27,42.56,43.08,42.5,42.54,37.44,2057500
2017-06-28,42.78,43.49,42.78,42.97,37.81,3828500
2017-06-29,44.41,44.85,43.38,43.99,38.71,4443800
2017-06-30,44.14,44.21,43.41,43.91,38.64,2047500
2017-07-03,44.24,45.09,43.97,44.73,39.36,1435300
2017-07-05,44.76,44.83,44.12,44.74,39.37,2217900
2017-07-06,44.76,44.87,44.07,44.12,38.83,2077400
2017-07-07,44.32,44.5,43.78,44.44,39.11,1476000
2017-07-10,44.37,44.85,44.13,44.66,39.3,2232100
2017-07-11,44.68,45.26,44.48,45.2,39.78,5772900
2017-07-12,45.12,45.28,44.45,44.79,39.42,2243400
2017-07-13,44.9,45.12,44.69,45.0,39.6,1855000
2017-07-14,44.34,44.92,43.94,44.72,39.35,1827200
2017-07-17,44.66,44.79,44.14,44.34,39.02,3500400
2017-07-18,43.98,44.28,43.59,44.08,38.79,2276900
2017-07-19,44.07,44.39,43.69,43.98,38.7,1614900
2017-07-20,43.95,44.25,43.6,43.84,38.58,1578000
2017-07-21,43.55,44.09,43.36,43.54,38.32,2170000
2017-07-24,43.55,44.36,43.55,44.32,39.0,1829400
2017-07-25,45.19,45.36,44.5,44.65,39.29,2768000
2017-07-26,46.0,46.29,45.24,45.67,40.19,4601300
2017-07-27,45.86,45.86,44.68,45.14,39.72,4096000
2017-07-28,45.11,45.44,44.81,45.26,39.83,2179800
2017-07-31,45.39,45.66,45.25,45.32,39.88,2723400
2017-08-01,45.51,45.58,44.99,45.38,39.94,3371700
2017-08-02,45.29,45.74,45.06,45.72,40.23,2222600
2017-08-03,45.66,45.85,45.31,45.49,40.03,2479100
2017-08-04,45.94,46.43,45.75,46.12,40.59,2118800
2017-08-07,45.8,46.09,45.48,45.76,40.27,1998400
2017-08-08,45.59,46.46,45.42,45.81,40.31,2354800
2017-08-09,45.44,45.61,45.03,45.29,39.86,2224300
2017-08-10,45.23,45.23,44.21,44.44,39.11,2714000
2017-08-11,44.68,44.94,43.88,44.11,38.82,1898100
2017-08-14,44.6,45.14,44.2,44.99,39.59,1539300
2017-08-15,45.53,45.77,45.1,45.13,39.82,1235600
2017-08-16,45.89,45.9,45.01,45.12,39.81,1506900
2017-08-17,44.97,45.16,43.76,43.85,38.69,1696900
2017-08-18,43.77,44.2,43.45,43.92,38.75,1482900
2017-08-21,43.85,43.88,43.29,43.54,38.42,1497100
2017-08-22,43.71,44.02,43.62,43.99,38.82,1347700
2017-08-23,43.61,44.35,43.6,43.93,38.76,1497200
2017-08-24,44.21,44.46,43.98,44.38,39.16,1215900
2017-08-25,44.42,44.9,44.33,44.7,39.44,1381300
2017-08-28,44.84,45.02,44.06,44.28,39.07,1772000
2017-08-29,43.67,43.87,43.26,43.71,38.57,2427300
2017-08-30,43.74,44.12,43.58,43.82,38.67,1536000
2017-08-31,43.93,44.16,43.6,43.66,38.52,1648900
2017-09-01,43.69,44.6,43.64,44.32,39.11,1481900
2017-09-05,44.0,44.02,42.68,42.76,37.73,2286700
2017-09-06,42.94,43.09,42.24,42.61,37.6,2455900
2017-09-07,42.51,42.56,41.23,41.33,36.47,2812500
2017-09-08,41.59,41.92,41.31,41.64,36.74,2230200
2017-09-11,42.05,42.89,42.01,42.73,37.7,3184300
2017-09-12,42.91,43.63,42.75,43.33,38.23,2852100
2017-09-13,43.2,43.21,42.47,43.05,37.99,4222500
2017-09-14,42.99,43.53,42.54,42.66,37.64,3067600
2017-09-15,42.3,43.31,42.22,43.28,38.19,3177200
2017-09-18,43.43,44.11,43.2,43.96,38.79,3128900
2017-09-19,44.03,44.47,43.89,44.41,39.19,2181100
2017-09-20,44.44,45.2,43.85,45.11,39.8,2740700
2017-09-21,45.15,45.54,44.91,45.36,40.02,1959500
2017-09-22,45.17,45.19,44.81,45.12,39.81,1173000
2017-09-25,44.94,45.82,44.89,45.45,40.1,2240300
2017-09-26,45.6,45.98,45.39,45.84,40.45,1800900
2017-09-27,46.39,46.97,46.08,46.59,41.11,2590800
2017-09-28,46.9,46.97,46.39,46.94,41.42,2423300
2017-09-29,46.97,47.7,46.7,47.18,41.63,1982600
2017-10-02,46.65,47.34,46.34,47.28,41.72,2236700
2017-10-03,47.22,47.34,46.63,46.93,41.41,1829300
2017-10-04,46.93,47.05,46.63,46.69,41.2,1023600
2017-10-05,46.82,47.79,46.56,47.66,42.05,1849400
2017-10-06,47.87,48.26,47.42,47.88,42.25,2316100
2017-10-09,47.97,47.97,47.32,47.34,41.77,1281100
2017-10-10,47.34,47.75,47.19,47.71,42.1,1455600
2017-10-11,47.6,47.65,47.09,47.28,41.72,1507300
2017-10-12,47.5,47.62,46.68,46.72,41.22,1623200
2017-10-13,46.45,46.89,46.15,46.6,41.12,1204700
2017-10-16,46.5,46.91,46.47,46.79,41.29,1063400
2017-10-17,46.91,46.97,45.96,45.99,40.58,1324600
2017-10-18,46.23,46.43,45.79,46.17,40.74,2649200
2017-10-19,45.7,46.24,45.28,46.05,40.63,2174100
2017-10-20,46.77,46.98,46.55,46.76,41.26,2134400
2017-10-23,46.84,47.0,46.24,46.39,40.93,2156900
2017-10-24,45.25,47.15,45.06,46.35,40.9,3804700
2017-10-25,46.4,46.88,45.52,45.99,40.58,3037800
2017-10-26,46.2,46.98,46.03,46.93,41.41,2528500
2017-10-27,46.82,47.3,46.7,47.11,41.57,2395500
2017-10-30,46.82,47.33,46.55,46.8,41.3,2139500
2017-10-31,46.68,47.07,46.44,46.46,41.0,1445300
2017-11-01,46.71,47.06,46.16,46.22,40.78,1400100
2017-11-02,46.17,46.92,45.99,46.85,41.34,1496000
2017-11-03,46.77,47.13,46.37,46.81,41.3,1249300
2017-11-06,46.75,46.84,46.09,46.45,40.99,1505000
2017-11-07,46.44,46.54,44.79,44.88,39.6,2413000
2017-11-08,44.72,44.92,44.16,44.54,39.3,2940600
2017-11-09,44.21,44.68,43.67,43.97,38.8,2076100
2017-11-10,44.1,44.42,43.83,43.93,38.76,2049000
2017-11-13,43.65,45.53,43.5,45.43,40.09,3651300
2017-11-14,45.12,47.09,45.1,46.49,41.17,4487100
2017-11-15,45.99,46.95,45.64,46.5,41.18,2180700
2017-11-16,46.72,46.99,46.06,46.11,40.83,2136300
2017-11-17,45.91,46.46,45.63,46.3,41.0,1291000
2017-11-20,46.46,47.16,46.21,47.1,41.71,2387100
2017-11-21,47.34,47.34,46.71,46.89,41.52,1619400
2017-11-22,47.05,47.05,46.35,46.35,41.04,1204200
2017-11-24,46.65,46.84,46.31,46.35,41.04,688600
2017-11-27,46.25,46.69,46.07,46.42,41.1,1717500
2017-11-28,46.62,48.14,46.53,48.09,42.58,3198100
2017-11-29,48.56,49.95,48.5,49.49,43.82,3982500
2017-11-30,49.93,50.51,49.4,49.55,43.88,3451700
2017-12-01,49.52,50.34,48.28,50.08,44.35,4038800
2017-12-04,51.04,52.16,50.51,51.74,45.82,3789700
2017-12-05,52.02,52.2,50.77,50.88,45.05,2436800
2017-12-06,50.45,50.71,49.86,49.92,44.2,3233800
2017-12-07,49.91,50.86,49.6,50.47,44.69,2414600
2017-12-08,50.88,51.03,50.41,50.93,45.1,1653400
2017-12-11,50.9,51.06,49.8,49.94,44.22,1857000
2017-12-12,50.03,50.61,49.89,50.46,44.68,2432700
2017-12-13,50.61,50.82,49.55,49.76,44.06,2193600
2017-12-14,49.91,50.25,49.13,49.22,43.58,2788900
2017-12-15,49.3,50.72,49.22,50.01,44.28,4481600
2017-12-18,50.5,51.23,50.5,50.98,45.14,2616500
2017-12-19,51.18,51.34,50.74,50.89,45.06,1336400
2017-12-20,51.43,51.52,50.21,50.73,44.92,1701200
2017-12-21,51.12,51.63,50.9,51.46,45.57,1607200
2017-12-22,51.5,51.59,50.91,51.33,45.45,879900
2017-12-26,51.25,51.97,50.66,50.86,45.04,808100
2017-12-27,50.78,50.89,50.46,50.71,44.9,694600
2017-12-28,50.92,51.37,50.53,51.34,45.46,976400
2017-12-29,51.28,51.55,50.81,50.83,45.01,1261800
2018-01-02,52.17,52.17,50.16,50.7,44.89,2387100
2018-01-03,50.69,50.85,50.28,50.64,44.84,1575700
2018-01-04,51.02,51.63,50.55,50.85,45.03,3309200
2018-01-05,51.11,51.2,50.47,50.87,45.05,1212200
2018-01-08,50.87,51.0,50.48,50.62,44.82,1697700
2018-01-09,50.87,52.14,50.65,51.81,45.88,1888100
2018-01-10,51.85,53.07,51.84,52.35,46.36,2790500
2018-01-11,52.59,53.23,52.38,53.11,47.03,1242800
2018-01-12,53.38,53.77,53.05,53.28,47.18,1634400
2018-01-16,53.66,53.87,52.51,52.9,46.84,1512100
2018-01-17,53.15,53.54,52.33,53.32,47.21,1351100
2018-01-18,53.37,53.55,52.69,52.86,46.81,1393500
2018-01-19,52.63,53.75,52.63,53.73,47.58,2438900
2018-01-22,53.77,54.22,53.3,54.16,47.96,2546900
2018-01-23,53.97,54.88,53.15,54.17,47.97,2941400
2018-01-24,54.37,54.49,53.06,53.74,47.59,2260300
2018-01-25,53.87,53.95,52.75,53.02,46.95,1964700
2018-01-26,53.37,54.07,52.96,54.02,47.83,1676700
2018-01-29,54.0,55.02,53.85,54.19,47.99,2841300
2018-01-30,53.71,54.59,53.71,53.93,47.75,2444700
2018-01-31,53.96,54.86,53.87,54.03,47.84,2243800
2018-02-01,53.79,55.0,53.59,54.98,48.68,3541700
2018-02-02,54.77,55.61,53.98,54.15,47.95,4533600
2018-02-05,53.54,54.16,51.22,51.65,45.74,3305300
2018-02-06,50.41,52.76,49.76,52.52,46.51,3682500
2018-02-07,52.23,54.32,52.22,54.02,47.83,6427300
2018-02-08,54.02,54.33,50.7,50.71,44.9,3213100
2018-02-09,51.6,52.05,49.99,51.64,45.73,2791700
2018-02-12,52.07,52.51,51.29,52.06,46.1,2571300
2018-02-13,51.59,52.18,51.51,51.96,46.01,1767100
2018-02-14,52.39,54.77,51.82,54.51,48.46,4791300
2018-02-15,54.96,55.06,54.26,54.77,48.69,2250000
2018-02-16,54.61,55.36,54.5,55.07,48.95,2343100
2018-02-20,54.86,55.4,54.59,54.97,48.86,2093200
2018-02-21,55.04,56.57,54.7,55.86,49.66,2644800
2018-02-22,56.1,56.23,54.51,54.72,48.64,1836000
2018-02-23,54.87,55.7,54.68,55.68,49.5,2001600
2018-02-26,56.1,56.31,55.37,56.29,50.04,1938100
2018-02-27,56.3,57.07,55.74,55.74,49.55,1715700
2018-02-28,55.91,56.31,54.94,54.97,48.86,3168400
2018-03-01,55.11,55.66,54.1,54.38,48.34,2848500
2018-03-02,54.14,54.95,53.4,54.81,48.72,2226700
2018-03-05,54.39,55.99,53.97,55.71,49.52,4642700
2018-03-06,55.82,56.57,55.25,56.54,50.26,1600400
2018-03-07,55.83,57.08,55.83,56.93,50.61,1405400
2018-03-08,56.91,57.13,55.23,56.1,49.87,2060000
2018-03-09,56.75,57.05,56.31,57.04,50.7,1883100
2018-03-12,57.04,57.29,55.8,56.58,50.3,3135800
2018-03-13,57.04,57.29,55.46,55.75,49.56,2462000
2018-03-14,55.97,55.97,54.49,54.78,48.7,1828200
2018-03-15,55.57,55.57,54.47,54.75,48.67,2291600
2018-03-16,55.0,55.8,54.92,55.52,49.35,5493300
2018-03-19,55.32,55.77,54.34,54.99,48.88,1669500
2018-03-20,55.35,55.47,54.47,54.8,48.71,2864300
2018-03-21,54.94,55.78,54.39,55.1,48.98,2028900
2018-03-22,54.53,54.7,52.97,53.07,47.17,2809700
2018-03-23,53.22,53.37,51.17,51.23,45.54,3401200
2018-03-26,52.2,53.41,51.9,53.24,47.33,2457800
2018-03-27,53.25,53.71,51.62,52.02,46.24,2262400
2018-03-28,52.1,52.63,51.55,52.17,46.37,1968600
2018-03-29,52.41,53.03,51.98,52.73,46.87,1747400
2018-04-02,52.64,52.8,50.84,51.37,45.66,2250200
2018-04-03,51.77,52.34,51.32,51.94,46.17,2431700
2018-04-04,51.02,53.01,50.94,52.85,46.98,2105400
2018-04-05,53.17,53.46,52.62,52.89,47.01,1545900
2018-04-06,52.36,52.99,50.9,51.44,45.73,2475600
2018-04-09,51.94,52.91,51.61,51.63,45.89,1601500
2018-04-10,52.45,52.72,51.79,52.4,46.58,1635900
2018-04-11,51.82,52.66,51.68,52.14,46.35,1981000
2018-04-12,52.51,54.43,52.46,54.13,48.12,2284800
2018-04-13,54.49,54.56,52.66,52.85,46.98,2365500
2018-04-16,53.25,53.7,52.74,53.31,47.39,1459100
2018-04-17,53.62,53.62,51.56,51.92,46.15,2023200
2018-04-18,52.13,52.63,51.73,52.08,46.29,2701000
2018-04-19,52.03,53.37,51.93,53.21,47.3,2154800
2018-04-20,53.25,54.05,53.25,53.8,47.82,2493000
2018-04-23,54.05,54.38,53.7,54.26,48.23,2963900
2018-04-24,56.95,56.95,54.6,55.09,48.97,4341700
2018-04-25,54.95,55.92,54.05,55.26,49.12,3530200
2018-04-26,55.12,55.54,54.76,55.07,48.95,1621100
2018-04-27,55.35,56.0,55.02,55.6,49.42,1682200
2018-04-30,55.75,56.31,54.74,54.75,48.67,2115100
2018-05-01,54.56,55.5,54.08,55.05,48.94,2102500
2018-05-02,54.91,56.12,54.51,55.19,49.06,3247100
2018-05-03,54.89,55.38,53.98,54.45,48.4,2587000
2018-05-04,54.07,55.93,53.76,55.46,49.3,2144200
2018-05-07,55.55,56.03,54.93,55.51,49.34,1774000
2018-05-08,55.51,56.87,55.49,55.95,49.74,3088400
2018-05-09,56.37,57.52,56.04,57.28,50.92,2355800
2018-05-10,57.2,58.13,56.93,57.78,51.36,2069100
2018-05-11,57.92,58.28,57.56,57.81,51.39,1436300
2018-05-14,58.06,58.18,57.29,57.61,51.21,1273700
2018-05-15,57.44,58.27,57.16,57.83,51.41,2223500
2018-05-16,57.49,57.93,57.23,57.76,51.56,1351600
2018-05-17,57.61,58.46,57.27,58.3,52.04,1615600
2018-05-18,58.18,58.28,57.73,57.77,51.57,996500
2018-05-21,58.21,58.64,57.81,57.96,51.74,1337300
2018-05-22,58.14,59.19,57.97,58.54,52.25,1886100
