Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,61.43,62.49,61.39,62.3,60.45,3689100
2017-05-25,62.56,62.64,62.17,62.58,60.72,2864900
2017-05-26,62.78,63.11,62.39,62.61,60.75,1985500
2017-05-30,62.45,62.7,61.86,62.26,60.41,2884400
2017-05-31,62.58,62.7,62.1,62.28,60.43,3789800
2017-06-01,62.45,62.64,61.99,62.64,60.78,3112500
2017-06-02,62.78,63.3,62.39,62.5,60.65,4110100
2017-06-05,62.42,62.78,62.15,62.67,60.81,3364600
2017-06-06,62.5,63.08,62.49,62.98,61.11,2420400
2017-06-07,62.93,63.42,62.85,63.26,61.38,1904700
2017-06-08,63.26,63.49,62.46,62.58,60.72,3202000
2017-06-09,62.49,63.1,62.37,62.59,60.73,2021700
2017-06-12,62.61,62.71,61.26,61.85,60.02,4522600
2017-06-13,61.72,62.3,60.92,61.96,60.23,2007100
2017-06-14,62.01,62.6,61.71,62.23,60.49,1822100
2017-06-15,61.83,62.54,61.73,62.39,60.64,1605500
2017-06-16,62.73,63.0,62.27,62.55,60.8,2821300
2017-06-19,62.88,63.29,62.79,63.03,61.27,1839500
2017-06-20,63.38,63.85,62.85,63.0,61.24,2077500
2017-06-21,63.13,63.48,62.84,63.0,61.24,2363000
2017-06-22,63.0,63.84,62.81,63.51,61.73,2379300
2017-06-23,63.5,63.52,62.48,62.78,61.02,5215500
2017-06-26,62.87,62.92,62.24,62.72,60.96,1911700
2017-06-27,62.72,63.2,62.62,62.76,61.0,2329900
2017-06-28,63.0,63.46,62.61,62.95,61.19,1635200
2017-06-29,63.07,63.28,62.05,62.5,60.75,1782100
2017-06-30,62.46,62.93,62.37,62.38,60.63,1890200
2017-07-03,62.4,62.84,62.27,62.67,60.92,744300
2017-07-05,62.71,62.88,62.34,62.55,60.8,3000300
2017-07-06,62.35,62.5,61.66,61.79,60.06,2319600
2017-07-07,62.3,62.81,62.12,62.59,60.84,2289500
2017-07-10,62.5,62.71,62.28,62.47,60.72,1596800
2017-07-11,62.41,62.5,61.96,62.21,60.47,1220200
2017-07-12,62.45,62.94,62.41,62.56,60.81,2016200
2017-07-13,62.56,63.09,62.49,63.05,61.29,2976100
2017-07-14,63.15,63.53,62.9,63.35,61.58,2131400
2017-07-17,63.45,63.51,63.03,63.07,61.3,1695800
2017-07-18,63.0,63.0,62.26,62.46,60.71,1808400
2017-07-19,62.71,62.79,62.29,62.42,60.67,1850600
2017-07-20,62.56,62.94,62.52,62.75,60.99,1394600
2017-07-21,62.75,63.42,62.39,63.16,61.39,2097200
2017-07-24,63.2,63.46,63.05,63.29,61.52,1811900
2017-07-25,62.98,63.03,61.12,61.28,59.56,6067900
2017-07-26,60.88,62.2,60.8,62.06,60.32,3153600
2017-07-27,62.06,62.2,61.7,62.01,60.27,2090500
2017-07-28,62.15,62.65,62.06,62.21,60.47,1540600
2017-07-31,62.45,62.83,62.32,62.52,60.77,2130400
2017-08-01,62.6,62.69,61.92,62.27,60.53,1751000
2017-08-02,62.04,62.21,61.38,61.54,59.82,1831100
2017-08-03,61.23,62.47,61.2,62.28,60.54,1768800
2017-08-04,62.37,62.85,61.86,62.12,60.38,1277500
2017-08-07,62.12,62.34,61.25,61.83,60.1,4208300
2017-08-08,60.49,61.0,59.5,60.0,58.32,4663700
2017-08-09,59.95,60.87,59.76,60.81,59.11,4017300
2017-08-10,60.87,61.37,59.71,59.74,58.07,2690700
2017-08-11,60.05,60.22,59.64,59.73,58.06,2285200
2017-08-14,60.19,60.83,60.04,60.74,59.04,2475400
2017-08-15,60.86,61.68,60.56,61.03,59.32,2220800
2017-08-16,61.27,61.54,61.08,61.5,59.78,1388900
2017-08-17,61.42,61.97,60.88,60.9,59.2,1765700
2017-08-18,60.71,61.08,60.44,60.75,59.05,1513100
2017-08-21,60.82,61.47,60.65,61.35,59.63,1806300
2017-08-22,61.26,61.81,61.1,61.6,59.88,3459300
2017-08-23,61.44,61.6,61.23,61.36,59.64,1597900
2017-08-24,61.61,61.61,61.15,61.39,59.67,2099000
2017-08-25,61.73,61.97,61.24,61.33,59.61,1965900
2017-08-28,61.53,61.84,61.38,61.54,59.82,2102100
2017-08-29,61.36,61.67,61.08,61.5,59.78,1331300
2017-08-30,61.52,62.19,61.5,61.94,60.21,2101800
2017-08-31,62.16,62.82,61.88,62.7,60.94,2934200
2017-09-01,62.75,62.97,62.43,62.87,61.11,1407500
2017-09-05,62.7,63.25,62.64,63.17,61.4,2859900
2017-09-06,63.55,63.6,63.06,63.39,61.62,3216100
2017-09-07,63.58,65.12,63.23,64.85,63.03,2558500
2017-09-08,64.85,65.08,64.62,64.7,62.89,2608200
2017-09-11,65.33,65.39,64.52,65.28,63.45,1842400
2017-09-12,65.25,65.5,65.18,65.4,63.57,1832000
2017-09-13,65.32,65.83,65.22,65.28,63.45,1517200
2017-09-14,65.1,65.27,64.77,65.25,63.42,2584700
2017-09-15,65.41,65.64,64.87,65.2,63.37,2115400
2017-09-18,65.31,65.42,64.64,65.2,63.37,1584900
2017-09-19,65.38,65.41,64.53,64.78,62.97,2005800
2017-09-20,64.72,65.08,64.01,64.48,62.68,2634700
2017-09-21,64.5,64.86,64.2,64.24,62.44,1232200
2017-09-22,64.3,64.55,63.94,64.16,62.36,1538400
2017-09-25,64.18,64.28,63.51,63.67,61.89,2214300
2017-09-26,63.71,64.14,63.29,63.33,61.56,1580000
2017-09-27,63.39,63.68,63.02,63.21,61.44,1959700
2017-09-28,63.37,63.73,62.79,63.32,61.55,1689700
2017-09-29,63.36,63.78,62.89,63.76,61.98,1981400
2017-10-02,63.84,64.39,63.69,63.75,61.97,1838500
2017-10-03,63.75,64.1,63.4,63.59,61.81,1809500
2017-10-04,63.68,64.01,63.48,63.57,61.79,1954400
2017-10-05,63.42,63.99,63.28,63.75,61.97,2345500
2017-10-06,63.75,63.96,63.58,63.75,61.97,2543600
2017-10-09,63.81,63.87,63.51,63.73,61.95,1257600
2017-10-10,63.75,64.03,63.44,63.99,62.2,2014600
2017-10-11,63.9,64.28,63.79,64.28,62.48,1612000
2017-10-12,64.24,64.94,64.19,64.91,63.09,1837900
2017-10-13,64.93,65.53,64.72,65.44,63.61,2401600
2017-10-16,65.59,65.8,65.36,65.71,63.87,2453400
2017-10-17,65.65,66.11,65.43,65.81,63.97,2251600
2017-10-18,65.91,65.91,65.25,65.56,63.72,1723200
2017-10-19,65.5,65.69,65.16,65.58,63.74,1572000
2017-10-20,65.63,65.99,65.24,65.94,64.09,1690100
2017-10-23,66.2,66.35,65.27,65.28,63.45,1782100
2017-10-24,65.33,65.73,64.84,64.98,63.16,1780700
2017-10-25,64.81,64.99,64.28,64.38,62.58,1964400
2017-10-26,64.59,64.59,63.59,63.74,61.96,3112800
2017-10-27,63.76,64.37,63.52,64.05,62.26,2911700
2017-10-30,64.05,64.05,63.03,63.24,61.47,3912200
2017-10-31,63.41,64.14,63.25,63.82,62.03,3798400
2017-11-01,64.2,65.08,64.02,64.51,62.7,3066000
2017-11-02,64.3,67.85,64.3,67.31,65.43,5185600
2017-11-03,67.77,68.8,67.44,68.69,66.77,4320700
2017-11-06,68.92,70.48,68.85,69.71,67.76,3884100
2017-11-07,69.73,70.26,68.15,68.45,66.53,5010100
2017-11-08,68.0,69.62,67.76,69.51,67.67,3933500
2017-11-09,69.16,69.5,68.96,69.3,67.46,2406600
2017-11-10,68.95,69.24,68.58,69.13,67.3,1905700
2017-11-13,69.01,69.3,68.56,68.88,67.05,2747300
2017-11-14,68.78,69.95,68.57,69.9,68.05,2372000
2017-11-15,69.69,70.33,69.35,69.62,67.78,2075500
2017-11-16,69.97,70.49,69.71,70.41,68.54,2055500
2017-11-17,70.24,71.12,70.24,70.79,68.91,2355100
2017-11-20,70.8,71.14,70.49,70.95,69.07,2268300
2017-11-21,71.03,72.14,70.97,71.36,69.47,2725400
2017-11-22,71.33,71.83,70.95,71.07,69.19,1437200
2017-11-24,71.17,71.42,70.93,71.29,69.4,1200300
2017-11-27,71.49,71.8,71.22,71.54,69.64,1997500
2017-11-28,71.59,71.63,71.26,71.39,69.5,2610400
2017-11-29,71.99,72.1,71.28,71.61,69.71,1618400
2017-11-30,71.84,72.71,71.84,72.29,70.37,2602100
2017-12-01,72.22,72.35,71.28,72.3,70.38,1932200
2017-12-04,72.44,72.79,71.0,71.02,69.14,3581400
2017-12-05,70.82,71.77,70.6,70.85,68.97,2261500
2017-12-06,70.6,71.11,70.48,70.97,69.09,1507400
2017-12-07,70.97,71.84,70.76,71.64,69.74,2694400
2017-12-08,71.89,71.98,71.3,71.88,69.98,1640000
2017-12-11,71.84,71.97,71.52,71.77,69.87,1172500
2017-12-12,71.77,72.66,71.64,72.23,70.32,1939900
2017-12-13,72.14,72.99,72.06,72.38,70.46,1595100
2017-12-14,72.25,72.46,71.57,71.76,69.86,1364500
2017-12-15,72.21,72.27,71.52,71.96,70.05,2843200
2017-12-18,71.96,72.92,71.91,72.63,70.71,1657800
2017-12-19,72.82,73.58,72.73,72.8,70.87,1946300
2017-12-20,72.68,73.16,72.17,72.71,70.78,1806300
2017-12-21,73.0,73.31,72.27,72.28,70.36,1163500
2017-12-22,72.27,72.37,71.79,71.99,70.08,1345700
2017-12-26,72.4,72.55,71.9,72.34,70.42,791900
2017-12-27,72.59,72.69,72.25,72.45,70.53,1159800
2017-12-28,72.49,72.6,72.14,72.39,70.47,710500
2017-12-29,72.55,72.76,72.04,72.04,70.13,1704100
2018-01-02,72.54,72.59,71.47,71.77,69.87,2135600
2018-01-03,71.77,72.18,71.34,72.1,70.19,2328200
2018-01-04,72.75,72.91,72.26,72.53,70.61,2534000
2018-01-05,72.83,73.92,72.57,73.36,71.42,2166100
2018-01-08,73.43,74.42,73.16,74.24,72.27,3631400
2018-01-09,74.7,75.47,74.47,75.11,73.12,2721800
2018-01-10,74.58,74.8,73.28,73.91,71.95,2257200
2018-01-11,74.05,74.68,73.72,74.59,72.61,1629300
2018-01-12,74.91,75.69,74.77,75.39,73.39,1915700
2018-01-16,76.06,76.4,75.21,75.54,73.54,2599100
2018-01-17,75.81,77.03,75.39,76.77,74.74,2769600
2018-01-18,76.65,76.65,75.85,76.33,74.43,2589000
2018-01-19,76.69,76.91,76.22,76.62,74.71,4829600
2018-01-22,76.67,77.58,76.62,77.48,75.55,4195100
2018-01-23,77.3,78.32,76.97,77.59,75.66,2264100
2018-01-24,78.16,78.51,77.6,78.33,76.38,2585300
2018-01-25,78.47,79.38,78.35,79.25,77.28,2327300
2018-01-26,79.49,80.13,79.38,80.09,78.1,2532800
2018-01-29,79.81,79.95,79.11,79.18,77.21,2662400
2018-01-30,78.44,78.69,77.91,78.35,76.4,3808700
2018-01-31,78.49,78.77,76.54,76.73,74.82,4136400
2018-02-01,76.84,78.27,76.69,77.82,75.88,2981800
2018-02-02,77.53,78.12,76.73,76.78,74.87,2595200
2018-02-05,76.64,76.92,73.18,73.83,71.99,2962000
2018-02-06,72.74,74.56,72.13,73.27,71.45,4924300
2018-02-07,72.7,75.0,72.69,73.86,72.02,4534900
2018-02-08,73.96,74.56,71.5,71.51,69.73,2730000
2018-02-09,72.23,72.88,70.2,72.35,70.55,3296500
2018-02-12,72.94,74.04,72.6,73.19,71.37,3828000
2018-02-13,73.11,73.79,72.96,73.24,71.42,2416200
2018-02-14,72.79,74.57,72.78,74.46,72.61,2947800
2018-02-15,79.26,81.4,75.75,78.5,76.55,6022200
2018-02-16,78.15,80.08,78.15,79.73,77.74,3921100
2018-02-20,79.21,81.47,79.07,80.35,78.35,3646700
2018-02-21,80.37,81.78,80.31,80.5,78.5,3403100
2018-02-22,81.03,81.68,80.51,80.76,78.75,2417700
2018-02-23,81.17,82.93,81.0,82.79,80.73,2697200
2018-02-26,83.46,83.46,82.79,83.3,81.23,2211700
2018-02-27,83.01,83.37,81.61,81.67,79.64,2240900
2018-02-28,81.88,82.48,80.84,80.86,78.85,1968200
2018-03-01,80.86,81.57,79.83,80.44,78.44,3010300
2018-03-02,79.93,81.5,79.86,81.28,79.26,2027200
2018-03-05,81.01,82.57,80.7,81.89,79.85,2148500
2018-03-06,82.0,82.14,80.93,81.51,79.48,2102700
2018-03-07,80.98,81.96,80.97,81.76,79.72,2878600
2018-03-08,82.0,82.85,81.93,82.54,80.48,2458100
2018-03-09,83.06,85.05,82.98,84.52,82.42,3028700
2018-03-12,84.89,84.95,84.09,84.41,82.31,2316300
2018-03-13,84.9,85.54,84.33,84.59,82.48,1911500
2018-03-14,85.13,85.48,84.09,84.35,82.25,1794700
2018-03-15,84.32,85.35,83.96,84.69,82.58,1659200
2018-03-16,85.02,85.42,84.58,84.6,82.49,3151600
2018-03-19,83.82,84.32,82.36,83.15,81.08,2417800
2018-03-20,83.32,84.79,83.28,84.66,82.55,2653400
2018-03-21,84.87,85.73,84.07,84.1,82.01,3305400
2018-03-22,83.35,84.13,81.8,82.06,80.02,3224400
2018-03-23,82.16,82.8,80.32,80.6,78.59,2608000
2018-03-26,81.88,83.87,81.53,83.73,81.65,3089900
2018-03-27,84.08,84.45,81.21,81.86,79.82,2689900
2018-03-28,82.09,82.55,80.28,81.0,78.98,2634500
2018-03-29,81.49,83.51,81.09,83.51,81.43,4122900
2018-04-02,83.17,83.29,80.68,81.21,79.19,2566000
2018-04-03,81.78,83.18,81.39,82.87,80.81,2216500
2018-04-04,81.58,83.06,80.73,82.85,80.79,3093300
2018-04-05,83.29,84.33,82.85,83.52,81.44,2522000
2018-04-06,82.75,83.12,80.06,80.97,78.95,2752300
2018-04-09,81.81,82.99,81.56,81.87,79.83,2456700
2018-04-10,82.95,83.47,82.28,83.09,81.02,2335000
2018-04-11,82.57,83.51,82.56,83.07,81.0,2239700
2018-04-12,83.57,84.38,83.4,83.96,81.87,1369500
2018-04-13,84.25,84.43,83.22,83.57,81.49,1162600
2018-04-16,84.49,84.85,83.86,84.4,82.3,1663000
2018-04-17,84.98,85.94,84.82,85.67,83.54,1901000
2018-04-18,85.7,86.38,85.2,85.97,83.83,2151300
2018-04-19,85.42,85.89,84.82,85.41,83.41,2176100
2018-04-20,85.39,85.93,85.14,85.45,83.44,1815200
2018-04-23,85.59,85.76,85.01,85.3,83.3,1396200
2018-04-24,85.83,85.9,83.48,84.35,82.37,2108700
2018-04-25,84.12,84.57,83.44,84.57,82.59,2105600
2018-04-26,85.08,85.26,84.36,84.73,82.74,2154600
2018-04-27,84.78,85.21,84.39,84.84,82.85,1119200
2018-04-30,84.89,85.0,83.37,83.48,81.52,3364500
2018-05-01,83.46,84.04,82.89,83.4,81.44,3215600
2018-05-02,77.67,80.45,77.0,79.9,78.02,7496500
2018-05-03,79.78,80.89,78.44,80.38,78.49,4833600
2018-05-04,80.02,81.83,79.62,81.56,79.65,2882000
2018-05-07,81.74,82.46,81.22,82.15,80.22,2021800
2018-05-08,81.84,82.49,81.11,82.0,80.08,2534400
2018-05-09,82.1,82.56,81.18,82.33,80.4,3009300
2018-05-10,83.32,84.37,82.83,83.46,81.5,1977600
2018-05-11,83.62,84.47,83.58,84.45,82.47,2210400
2018-05-14,84.54,85.17,83.37,84.06,82.09,2484500
2018-05-15,83.53,83.72,82.78,83.02,81.07,2203100
2018-05-16,82.55,83.17,82.0,82.85,80.91,3221300
2018-05-17,83.0,83.1,82.08,82.95,81.0,1844900
2018-05-18,82.71,84.66,82.71,84.4,82.42,2149500
2018-05-21,84.88,85.44,84.4,85.38,83.38,1641300
2018-05-22,85.39,85.64,84.21,84.38,82.4,1658900
2018-05-23,84.3,85.0,83.74,84.88,82.89,1739300
